13.1 13.2 13.3 13.5
RR RA RR RR
RR RR RR RA
RR RR RR RA
RA RR RR RR
RR RA RR RR
RR RA RR RR
RR RR RR RA
RR RR RA RR
RR RA RR RR
RR RR RR RA
RR RA RR RR
RA RR RR RR
RR RR RA RR
RR RA RR RR
RA RR RR RR
RR RA RR RR
RA RR RR RR
RA RR RR RR
RR RA RR RR
RR RR RR RA
RR RA RR RR
RA RR RR RR
RA RR RR RR
RR RR RA RR
RR RR RR RA
RR RR RA RR
RA RR RR RR
RR RA RR RR
RA RR RR RR
RR RR RA RR
RA RR RR RR
RR RR RA RR
RR RR RR RA
RA RR RR RR
RR RR RR RA
RR RA RR RR
RR RR RR RA
RR RA RR RR
RR RA RR RR
RR RA RR RR
RR RA RR RR
RR RR RA RR
RR RR RA RR
RA RR RR RR
RR RR RA RR
RR RR RA RR
RR RA RR RR
RA RR RR RR
RA RR RR RR
RA RR RR RR
RA RR RR RR
RA RR RR RR
RR RR RA RR
RR RR RR RA
RR RA RR RR
RR RA RR RR
RR RA RR RR
RR RR RR RA
RR RR RA RR
RR RA RR RR
RA RR RR RR
RR RR RR RA
RR RA RR RR
RR RA RR RR
RR RR RR RR
RR RR RR RA
RR RR RA RR
RR RR RA RR
RR RR RR RA
RR RA RR RR
RR RR RR RA
RA RR RR RR
RR RR RR RA
RA RR RR RR
RR RR RR RA
RR RA RR RR
RR RR RR RA
RA RR RR RR
RR RA RR RR
RR RR RA RR
RR RA RR RR
RR RA RR RR
RR RR RR RA
RR RR RR RR
RR RR RA RR
RR RR RA RR
RA RR RR RR
RR RR RA RR
RR RR RA RR
RR RR RA RR
RR RA RR RR


